Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (47979),,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,CHESTNUT (47980),,-3,,-3,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
k-48,,,,LUGGAGE,,,,HOLDALL,,,,NO SEASON,,,,,holdall,,,,,,,,,,68.00,170.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (47875),,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (47876),,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,CHESTNUT (47874),,-5,,-5,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,Total,,6,,6,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
k-49,,,,WASHBAGS,,,,WASHBAGS,,,,NO SEASON,,,,,wash bag,,,,,,,,,,20.00,50.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (47886),,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (47887),,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,CHESTNUT (47888),,-3,,-3,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,6,,6,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
k-50,,,,LUGGAGE,,,,SUIT CARRIER,,,,NO SEASON,,,,,suit carriere,,,,,,,,,,66.00,169.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (47547),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (47548),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,TAN (47549),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,Total,,14,,14,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KACHINA,,,,LADIES S/SKIN,,,,S/SKIN WAISTCOAT,,,,NO SEASON,,,,,SHEEPSKIN WAISTCOAT,,,,,,,,,,0.00,299.00
,,,8,,10,12,14,,16,Total,,,,,,,,,,,,,,,,,,
,GRAY (32445),,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,0,,0,1,,,,,,,,,,,,,,,,,,
,Total,,1,,0,0,0,,0,1,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KANE,,,,LUGGAGE,,,,RUCKSACK,,,,NO SEASON,,,,,backpack,,,,,,,,,,0.00,125.00
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (36105),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 130E,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN CREAM FUR,,,,,,,,,,119.00,299.00
,,,14,,16,18,Total,,,,,,,,,,,,,,,,,,,,,
,BROWN (7437),,0,,,0,0,,,,,,,,,,,,,,,,,,,,,
,TAN (7461),,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 265,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN CREAM FUR,,,,,,,,,,0.00,619.23
,,,8,,10,12,14,,16,18,20,,22,,Total,,,,,,,,,,,,,
,AUBERGINE (20753),,,,0,0,,,0,,,,,,0,,,,,,,,,,,,,
,,Fen,,,,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,ITOH,,,,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,WEB,,,,0,1,,1,1,1,,,,4,,,,,,,,,,,,,
,BEIGE (7425),,,,,,,,0,,,,,,0,,,,,,,,,,,,,
,,Fen,,,,,,,0,0,,,,,0,,,,,,,,,,,,,
,,ITOH,,,,,,,0,0,,,,,0,,,,,,,,,,,,,
,,WEB,,,,,,,0,1,,,,,1,,,,,,,,,,,,,
,BISCUIT (33631),,0,,0,1,0,,0,0,0,,,,1,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,SOL,,,,0,0,,0,,0,,,,0,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,BROWN (7413),,0,,0,1,0,,0,0,0,,,,1,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,SOL,,,0,0,1,,0,0,0,,,,1,,,,,,,,,,,,,
,,WEB,1,,1,0,2,,1,1,2,,,,8,,,,,,,,,,,,,
,BUNKER (23749),,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,
,CINAMON (21897),,,,,,0,,,,,,,,0,,,,,,,,,,,,,
,,WEB,,,,,,,,,1,,,,1,,,,,,,,,,,,,
,DARK-BROWN (8125),,,,0,0,,,0,0,0,,,,0,,,,,,,,,,,,,
,,Fen,,,,,,,,0,,,,,0,,,,,,,,,,,,,
,,ITOH,,,,0,,,,0,,,,,0,,,,,,,,,,,,,
,,SOL,,,,0,,,,,,,,,0,,,,,,,,,,,,,
,,WEB,,,,0,,,,0,,,,,0,,,,,,,,,,,,,
,GRAY (8486),,,,0,0,,,,,,,,,0,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,,,,,,0,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,,,,,,0,,,,,,,,,,,,,
,,WEB,,,0,0,0,,0,,,,,,0,,,,,,,,,,,,,
,TAN (7401),,0,,1,0,1,,0,0,0,,0,,2,,,,,,,,,,,,,
,,Fen,,,,,,,,0,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,-1,0,,0,,-1,,,,,,,,,,,,,
,,SOL,,,0,0,1,,,,,,,,1,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,1,0,0,,0,,3,,,,,,,,,,,,,
,TOPO (36621),,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,1,1,,,,2,,,,,,,,,,,,,
,Total,,2,,2,2,7,,3,3,5,,0,,24,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 270,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,CALF LENGTH TAN BRISSA FUR,,,,,,,,,,358.00,"1,001.93"
,,,8,,10,12,14,,16,18,20,,22,,Total,,,,,,,,,,,,,
,BLACK (7689),,0,,-1,0,0,,0,0,0,,0,,-1,,,,,,,,,,,,,
,,Ash,0,,,,,,,0,,,,,0,,,,,,,,,,,,,
,,Fen,,,0,0,0,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,0,2,,1,1,1,,0,,7,,,,,,,,,,,,,
,BLACK/BLK (21909),,,,,0,,,,,,,,,0,,,,,,,,,,,,,
,BROWN (7725),,0,,0,0,0,,0,,,,,,0,,,,,,,,,,,,,
,,Ash,,,,,0,,0,,,,,,0,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,SOL,,,0,,,,,,,,,,0,,,,,,,,,,,,,
,,WEB,1,,3,1,0,,0,1,0,,,,6,,,,,,,,,,,,,
,GRAY (7701),,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,
,,Fen,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,
,,ITOH,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,
,,SOL,,,,,,,0,,,,,,0,,,,,,,,,,,,,
,,WEB,,,,1,0,,,0,,,,,1,,,,,,,,,,,,,
,OCEAN (37588),,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,Fen,,,0,,0,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,SOL,0,,0,,0,,,,,,,,0,,,,,,,,,,,,,
,,WEB,1,,0,0,-1,,1,1,,,,,2,,,,,,,,,,,,,
,TAN (7713),,0,,0,0,0,,1,0,0,,,,1,,,,,,,,,,,,,
,,Ash,,,0,,,,,0,,,,,0,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,SOL,,,0,0,0,,,0,,,,,0,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,WHISKY/BLK (21921),,,,,0,0,,,,,,,,0,,,,,,,,,,,,,
,,Fen,,,0,0,,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,,,0,0,,,,,,,,,0,,,,,,,,,,,,,
,,WEB,,,0,0,,,,,,,,,0,,,,,,,,,,,,,
,Total,,3,,3,2,1,,3,3,1,,0,,16,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 270 LONG,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,F/L RAW EDGE TAN BRISSA FUR,,,,,,,,,,438.00,"1,095.00"
,,,10,,12,14,16,,Total,,,,,,,,,,,,,,,,,,,
,BLACK (7809),,0,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,2,,,,,,,,,,,,,,,,,,,
,BROWN (7797),,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,,,1,1,1,,3,,,,,,,,,,,,,,,,,,,
,TAN (7785),,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,Total,,1,,2,1,1,,5,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 285,,,,LADIES S/SKIN,,,,S/SKIN WAISTCOAT,,,,NO SEASON,,,,,s/skin gillet,,,,,,,,,,0.00,499.00
,,,10,,12,14,18,,Total,,,,,,,,,,,,,,,,,,,
,TAN (40662),,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,1,0,,3,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,1,0,,3,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 316,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN DUFFLE CREAM FUR,,,,,,,,,,210.00,754.78
,,,6,,8,10,12,,14,16,18,,20,,22,Total,,,,,,,,,,,,
,BROWN (7281),,,,0,0,0,,0,,0,,0,,,0,,,,,,,,,,,,
,,ITOH,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,
,,SOL,,,0,0,,,,,,,,,,0,,,,,,,,,,,,
,CREAM (48684),ITOH,,,,,,,0,,0,,,,,0,,,,,,,,,,,,
,,SOL,,,,,,,1,,0,,,,,1,,,,,,,,,,,,
,,WEB,,,,,,,0,,0,,,,,0,,,,,,,,,,,,
,TAN (7293),,0,,0,1,0,,1,1,2,,0,,,5,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,0,,,,0,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,SOL,,,0,0,0,,0,0,0,,0,,,0,,,,,,,,,,,,
,,WEB,0,,0,0,0,,2,0,0,,0,,0,2,,,,,,,,,,,,
,TOBACCO (21825),,0,,0,0,0,,-1,0,0,,0,,0,-1,,,,,,,,,,,,
,,Fen,0,,0,,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,SOL,,,0,1,0,,1,0,,,,,,2,,,,,,,,,,,,
,,WEB,0,,1,0,1,,0,1,1,,0,,0,4,,,,,,,,,,,,
,Total,,0,,1,1,1,,4,2,3,,0,,0,12,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 32 HOODED,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,HOODED SHORT TAN BRISSA FUR,,,,,,,,,,250.00,940.82
,,,8,,10,12,14,,16,18,20,,Total,,,,,,,,,,,,,,,
,BLACK (7653),,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,Ash,,,0,,,,,,,,0,,,,,,,,,,,,,,,
,,Fen,0,,,0,0,,0,,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,SOL,,,0,,,,,,,,0,,,,,,,,,,,,,,,
,,WEB,0,,1,0,1,,1,0,0,,3,,,,,,,,,,,,,,,
,BROWN (7665),,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,Ash,,,0,,,,,,,,0,,,,,,,,,,,,,,,
,,Fen,,,0,0,,,0,0,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,WEB,0,,0,1,1,,1,1,0,,4,,,,,,,,,,,,,,,
,OMBRE BLUE (37962),,,,,0,0,,0,,,,0,,,,,,,,,,,,,,,
,,Fen,,,0,,,,,,,,0,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,,,,0,,,,,,,,,,,,,,,
,,WEB,,,0,1,0,,1,1,,,3,,,,,,,,,,,,,,,
,TAN (7677),,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,Ash,0,,0,0,0,,,,,,0,,,,,,,,,,,,,,,
,,Fen,0,,0,0,,,0,0,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,SOL,,,0,,0,,0,,,,0,,,,,,,,,,,,,,,
,,WEB,0,,1,1,0,,1,1,0,,4,,,,,,,,,,,,,,,
,Total,,0,,2,3,2,,4,3,0,,14,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 374,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,HOODED S/SKIN BRN BRISSA FUR,,,,,,,,,,259.00,649.00
,,,12,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (7245),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 401,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN W/COAT CREAM FUR,,,,,,,,,,90.00,225.00
,,,10,,12,14,16,,18,Total,,,,,,,,,,,,,,,,,,
,BROWN (7269),,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,
,,SOL,,,1,0,,,1,2,,,,,,,,,,,,,,,,,,
,,WEB,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,
,TAN (7257),,,,,0,,,,0,,,,,,,,,,,,,,,,,,
,TOBACCO (21789),,,,,,0,,,0,,,,,,,,,,,,,,,,,,
,Total,,0,,1,0,0,,1,2,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 459,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN 3/4 BRISSA FUR,,,,,,,,,,210.00,528.81
,,,10,,12,16,18,,20,Total,,,,,,,,,,,,,,,,,,
,BROWN (7557),,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,Fen,,,,,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,DARK BROWN (36892),Fen,,,,0,,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,,,,1,0,,,1,,,,,,,,,,,,,,,,,,
,Total,,0,,0,1,0,,0,1,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 460,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN CREAM FUR,,,,,,,,,,184.00,460.34
,,,8,,10,12,14,,16,18,20,,Total,,,,,,,,,,,,,,,
,DARK-BROWN (7305),,0,,0,0,0,,,0,,,0,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,SOL,,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,WEB,1,,1,3,2,,3,1,,,11,,,,,,,,,,,,,,,
,TAN (7317),,,,0,0,,,,,,,0,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,0,,,,0,,,,,,,,,,,,,,,
,,ITOH,,,0,,0,,0,,,,0,,,,,,,,,,,,,,,
,,WEB,,,0,,0,,1,,,,1,,,,,,,,,,,,,,,
,TOBACCO (7329),,,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,Fen,0,,,,0,,,0,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,WEB,2,,1,0,0,,0,0,,,3,,,,,,,,,,,,,,,
,Total,,3,,2,3,2,,4,1,0,,15,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 461,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,TOSKANA TAN BRISSA FUR,,,,,,,,,,330.00,825.00
,,,10,,12,14,16,,Total,,,,,,,,,,,,,,,,,,,
,BLACK (7533),,0,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,,,0,,,,0,,,,,,,,,,,,,,,,,,,
,BROWN (7545),,0,,,,0,,0,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,,,0,,1,,1,,,,,,,,,,,,,,,,,,,
,,WEB,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,GRAY (7521),Fen,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,1,,,,,,1,,,,,,,,,,,,,,,,,,,
,,WEB,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,TAN (7509),,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,1,1,,,2,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,WHISKY/BLK (35772),Fen,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,1,,,,,,1,,,,,,,,,,,,,,,,,,,
,,WEB,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,Total,,2,,1,1,1,,5,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 466,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,TOSKANA 3/4 TAN BRISSA FUR,,,,,,,,,,267.00,797.55
,,,10,,12,14,16,,18,20,Total,,,,,,,,,,,,,,,,,
,BLACK (21777),,0,,,0,0,,,,0,,,,,,,,,,,,,,,,,
,BROWN (7581),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,0,,2,2,2,,1,0,7,,,,,,,,,,,,,,,,,
,GRAY (7605),,,,,,0,,,,0,,,,,,,,,,,,,,,,,
,TAN (7593),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,1,,1,0,1,,0,0,3,,,,,,,,,,,,,,,,,
,Total,,1,,3,2,3,,1,0,10,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 469,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,TASKANA W/COAT TAN BRISSA FUR,,,,,,,,,,139.00,349.00
,,,10,,12,14,16,,18,Total,,,,,,,,,,,,,,,,,,
,BROWN (7389),,,,,0,0,,,0,,,,,,,,,,,,,,,,,,
,TAN (7377),,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,1,,,1,1,,0,3,,,,,,,,,,,,,,,,,,
,Total,,1,,0,1,1,,0,3,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 493,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN BRN BRISSA FUR,,,,,,,,,,194.00,485.00
,,,12,,14,Total,,,,,,,,,,,,,,,,,,,,,,
,BROWN (7485),,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,0,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,,1,,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,0,1,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 520 W,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,LADIES TRENDY BODY WARMER BRISSA FUR,,,,,,,,,,159.00,399.00
,,,10,,12,14,Total,,,,,,,,,,,,,,,,,,,,,
,ANTIQUE (10733),Fen,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,,,1,,1,,,,,,,,,,,,,,,,,,,,,
,BLACK (10666),,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,BROWN (10690),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
