Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
109,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,LADIES GLOVES,,,,,,,,,,9.95,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,BLACK (2371),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,10,,7,8,25,,,,,,,,,,,,,,,,,,,,,
,GRAY (2399),,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,,,1,,,,,,,,,,,,,,,,,,,,,
,RED (2413),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,TAN (28906),,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Ash,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,2,2,,,,,,,,,,,,,,,,,,,,,
,Total,,12,,7,10,29,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
10973,,,,LUGGAGE,,,,HOLDALL,,,,NO SEASON,,,,,FOSSIL,,,,,,,,,,40.00,189.00
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLK/CROC (44713),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BRIDGE (44714),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,28,,28,,,,,,,,,,,,,,,,,,,,,,,
,Total,,28,,28,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1127,,,,LADIES JACKETS,,,,LADIES JACKETS,,,,NO SEASON,,,,,ladies stip biker,,,,,,,,,,0.00,159.00
,,,8,,10,12,14,,16,18,Total,,,,,,,,,,,,,,,,,
,BEIGE (46931),,1,,4,2,3,,,,10,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,SOL,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,BLACK (46919),,,,1,2,,,,,3,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,,,,,0,,,,,,,,,,,,,,,,,
,,WEB,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,BORDO (46943),,1,,1,4,2,,1,,9,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,,,,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,RED (46955),,,,3,3,2,,,,8,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,
,,WEB,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,Total,,2,,9,11,7,,1,0,30,,,,,,,,,,,,,,,,,
